family,prompt_id,requested_b,realised_r,signed_error,context_tokens,compress_ms,backend,backend_version,model_version,tokenizer
multifieldqa_en,multifieldqa_en-a013f691a7063527fa4e7a4b357081c76656af3cd402a27a,0.65,0.5809872029250457,-0.06901279707495434,2735,318.3279170189053,llmlingua2,llmlingua-0.2.2,microsoft/llmlingua-2-bert-base-multilingual-cased-meetingbank@main,gpt2
multifieldqa_en,multifieldqa_en-a013f691a7063527fa4e7a4b357081c76656af3cd402a27a,0.5,0.4325411334552102,-0.06745886654478978,2735,313.98904099478386,llmlingua2,llmlingua-0.2.2,microsoft/llmlingua-2-bert-base-multilingual-cased-meetingbank@main,gpt2
multifieldqa_en,multifieldqa_en-a013f691a7063527fa4e7a4b357081c76656af3cd402a27a,0.4,0.3382084095063985,-0.0617915904936015,2735,328.4990419924725,llmlingua2,llmlingua-0.2.2,microsoft/llmlingua-2-bert-base-multilingual-cased-meetingbank@main,gpt2
multifieldqa_en,multifieldqa_en-a013f691a7063527fa4e7a4b357081c76656af3cd402a27a,0.3,0.2449725776965265,-0.05502742230347349,2735,316.5370420028921,llmlingua2,llmlingua-0.2.2,microsoft/llmlingua-2-bert-base-multilingual-cased-meetingbank@main,gpt2
multifieldqa_en,multifieldqa_en-a013f691a7063527fa4e7a4b357081c76656af3cd402a27a,0.2,0.16051188299817185,-0.039488117001828166,2735,320.34891698276624,llmlingua2,llmlingua-0.2.2,microsoft/llmlingua-2-bert-base-multilingual-cased-meetingbank@main,gpt2
multifieldqa_en,multifieldqa_en-934162f30867844eb8d74c9d62c1e2aba3fca790b5b1d53e,0.8,0.690975387420237,-0.10902461257976304,2194,270.082959003048,llmlingua2,llmlingua-0.2.2,microsoft/llmlingua-2-bert-base-multilingual-cased-meetingbank@main,gpt2
multifieldqa_en,multifieldqa_en-934162f30867844eb8d74c9d62c1e2aba3fca790b5b1d53e,0.65,0.5533272561531449,-0.09667274384685509,2194,268.8838749891147,llmlingua2,llmlingua-0.2.2,microsoft/llmlingua-2-bert-base-multilingual-cased-meetingbank@main,gpt2
multifieldqa_en,multifieldqa_en-934162f30867844eb8d74c9d62c1e2aba3fca790b5b1d53e,0.5,0.422971741112124,-0.07702825888787601,2194,271.7137090221513,llmlingua2,llmlingua-0.2.2,microsoft/llmlingua-2-bert-base-multilingual-cased-meetingbank@main,gpt2
multifieldqa_en,multifieldqa_en-934162f30867844eb8d74c9d62c1e2aba3fca790b5b1d53e,0.4,0.3286235186873291,-0.07137648131267094,2194,267.56666600704193,llmlingua2,llmlingua-0.2.2,microsoft/llmlingua-2-bert-base-multilingual-cased-meetingbank@main,gpt2
multifieldqa_en,multifieldqa_en-934162f30867844eb8d74c9d62c1e2aba3fca790b5b1d53e,0.3,0.24475843208751139,-0.055241567912488604,2194,263.4761249937583,llmlingua2,llmlingua-0.2.2,microsoft/llmlingua-2-bert-base-multilingual-cased-meetingbank@main,gpt2
